symbol,setup_type,direction,kill_zone,entry_time,exit_time,pnl_pips,exit_reason
EURUSD,CHOCH,BUY,LONDON_CLOSE,2024-11-21 16:45:00+00:00,2024-11-21 18:15:00+00:00,-41.72659999999828,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,LONDON_CLOSE,2024-11-22 17:00:00+00:00,2024-11-25 00:00:00+00:00,32.399999999999096,TP_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2024-11-26 06:45:00+00:00,2024-12-18 21:35:00+00:00,-75.44800000000018,SL_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2024-12-20 08:30:00+00:00,2024-12-20 18:50:00+00:00,64.23199999999962,TP_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2024-12-24 13:30:00+00:00,2024-12-30 14:05:00+00:00,57.552000000002934,TP_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2024-12-30 14:45:00+00:00,2024-12-30 15:55:00+00:00,-61.0166000000012,SL_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-01-15 15:30:00+00:00,2025-01-15 18:10:00+00:00,-48.39999999999955,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2025-01-16 15:30:00+00:00,2025-01-16 18:05:00+00:00,34.599999999995745,TP_HIT
EURUSD,CHOCH,BUY,LONDON_CLOSE,2025-01-17 17:00:00+00:00,2025-01-24 10:10:00+00:00,158.65639999999902,TP_HIT
EURUSD,CHOCH,BUY,LONDON_CLOSE,2025-01-30 16:45:00+00:00,2025-01-31 11:00:00+00:00,-58.67860000000169,SL_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-02-06 15:30:00+00:00,2025-02-07 17:50:00+00:00,-28.703199999999818,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2025-02-13 15:30:00+00:00,2025-02-13 18:20:00+00:00,47.600000000000975,TP_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-02-14 09:00:00+00:00,2025-02-19 12:00:00+00:00,-43.99260000000016,SL_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-02-25 06:00:00+00:00,2025-02-27 15:50:00+00:00,-36.31760000000206,SL_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-03-04 09:00:00+00:00,2025-03-04 20:30:00+00:00,83.4804,TP_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-03-10 13:30:00+00:00,2025-03-24 18:40:00+00:00,-66.60820000000011,SL_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-03-25 06:00:00+00:00,2025-03-26 15:15:00+00:00,-32.98639999999908,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2025-03-28 14:30:00+00:00,2025-03-28 15:50:00+00:00,33.599999999998076,TP_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-03-28 15:50:00+00:00,2025-04-03 08:30:00+00:00,135.05439999999868,TP_HIT
EURUSD,CHOCH,BUY,LONDON_CLOSE,2025-04-08 16:15:00+00:00,2025-04-08 17:35:00+00:00,-65.42019999999926,SL_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-04-17 16:00:00+00:00,2025-04-21 02:05:00+00:00,84.73799999999976,TP_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-04-22 06:00:00+00:00,2025-04-22 16:05:00+00:00,-75.66220000000179,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2025-04-29 15:15:00+00:00,2025-04-30 04:55:00+00:00,-27.669100000000668,SL_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-05-01 13:30:00+00:00,2025-05-08 18:40:00+00:00,-62.9729999999995,SL_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-05-09 08:30:00+00:00,2025-05-09 09:10:00+00:00,16.60000000000217,TP_HIT
EURUSD,CHOCH,BUY,LONDON_CLOSE,2025-05-15 16:05:00+00:00,2025-05-16 17:40:00+00:00,-63.95659999999914,SL_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-05-20 06:00:00+00:00,2025-05-21 06:50:00+00:00,91.86840000000362,TP_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-06-10 13:30:00+00:00,2025-06-12 12:50:00+00:00,145.08799999999766,TP_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-06-12 13:30:00+00:00,2025-06-17 20:45:00+00:00,-98.90919999999913,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,LONDON_CLOSE,2025-06-18 17:00:00+00:00,2025-06-18 21:50:00+00:00,-37.8999999999996,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2025-06-26 15:30:00+00:00,2025-06-30 21:15:00+00:00,62.57799999999758,TP_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-07-02 15:15:00+00:00,2025-07-03 15:30:00+00:00,-28.099999999999792,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2025-07-24 16:00:00+00:00,2025-07-25 14:15:00+00:00,-38.32960000000218,SL_HIT
EURUSD,CHOCH,BUY,LONDON_CLOSE,2025-07-25 17:00:00+00:00,2025-07-28 10:55:00+00:00,-48.404199999998454,SL_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-07-29 06:00:00+00:00,2025-07-29 09:30:00+00:00,-31.666999999999668,SL_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-08-01 14:00:00+00:00,2025-08-01 15:35:00+00:00,99.36920000000349,TP_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-08-06 06:15:00+00:00,2025-08-06 20:35:00+00:00,75.25360000000258,TP_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-08-12 15:30:00+00:00,2025-08-27 14:00:00+00:00,-72.49559999999988,SL_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-08-28 13:30:00+00:00,2025-09-16 12:10:00+00:00,132.31280000000288,TP_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,LONDON_CLOSE,2025-09-23 16:50:00+00:00,2025-09-23 20:25:00+00:00,21.999999999997577,TP_HIT
EURUSD,CHOCH,BUY,LONDON_CLOSE,2025-09-26 16:45:00+00:00,2025-10-01 09:40:00+00:00,89.44319999999894,TP_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-10-08 13:30:00+00:00,2025-10-09 17:25:00+00:00,-46.81020000000036,SL_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-10-27 13:30:00+00:00,2025-10-29 20:35:00+00:00,-44.53339999999972,SL_HIT
EURUSD,CHOCH,BUY,LONDON_CLOSE,2025-11-03 17:00:00+00:00,2025-11-04 14:20:00+00:00,-38.309599999999385,SL_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-11-05 14:15:00+00:00,2025-11-07 13:30:00+00:00,70.90040000000019,TP_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-11-12 09:00:00+00:00,2025-11-19 17:10:00+00:00,-38.73819999999917,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2025-11-20 15:30:00+00:00,2025-11-21 14:20:00+00:00,-28.099999999999792,SL_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-11-21 15:45:00+00:00,2025-12-01 03:10:00+00:00,94.18280000000223,TP_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-12-02 15:45:00+00:00,2025-12-11 01:50:00+00:00,84.98959999999833,TP_HIT
EURUSD,CHOCH,BUY,LONDON_CLOSE,2025-12-12 16:15:00+00:00,2025-12-24 03:40:00+00:00,72.27440000000307,TP_HIT
