symbol,setup_type,direction,kill_zone,entry_time,exit_time,entry_price,exit_price,sl_price,tp1_price,pnl_pips,exit_reason,partial_taken
EURUSD,FVG_CONTINUATION,SELL,,2024-11-22 13:30:00+00:00,2024-11-22 13:50:00+00:00,1.04202,1.04132,1.0415999999999999,,7.839999999999403,GIVEBACK_GUARD,True
EURUSD,FVG_CONTINUATION,SELL,,2024-11-22 14:00:00+00:00,2024-11-25 00:00:00+00:00,1.04117,1.0460880000000001,1.0460880000000001,,-49.180000000001996,SL_HIT,False
EURUSD,CONTINUATION_OB,SELL,,2024-11-26 06:00:00+00:00,2024-11-26 14:10:00+00:00,1.04829,1.0520498999999999,1.0520498999999999,,-37.59899999999927,SL_HIT,False
EURUSD,CONTINUATION_OB,BUY,,2024-11-27 16:15:00+00:00,2024-11-27 19:20:00+00:00,1.05567,1.05826,1.0504049800000002,,25.899999999998702,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,BUY,,2024-12-02 14:15:00+00:00,2024-12-02 14:55:00+00:00,1.05187,1.0494568800000001,1.0494568800000001,,-24.131199999999353,SL_HIT,False
EURUSD,FVG_CONTINUATION,BUY,,2024-12-05 06:30:00+00:00,2024-12-05 10:05:00+00:00,1.05172,1.05394,1.0476704600000002,,22.200000000001108,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,BUY,,2024-12-09 13:30:00+00:00,2024-12-10 03:35:00+00:00,1.05769,1.05460656,1.05460656,,-30.834399999999373,SL_HIT,False
EURUSD,FVG_CONTINUATION,SELL,,2024-12-16 17:00:00+00:00,2024-12-16 19:15:00+00:00,1.04904,1.0517392799999998,1.0517392799999998,,-26.992799999998596,SL_HIT,False
EURUSD,FVG_CONTINUATION,SELL,,2024-12-23 13:45:00+00:00,2024-12-23 14:20:00+00:00,1.03989,1.03895,1.04222028,,9.399999999999409,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,SELL,,2024-12-23 15:15:00+00:00,2024-12-26 20:05:00+00:00,1.03962,1.04222028,1.04222028,,-26.002800000000104,SL_HIT,False
EURUSD,FVG_CONTINUATION,BUY,,2024-12-27 14:15:00+00:00,2024-12-30 10:55:00+00:00,1.04336,1.04089404,1.04089404,,-24.659600000001003,SL_HIT,False
EURUSD,FVG_CONTINUATION,BUY,,2024-12-30 15:30:00+00:00,2024-12-30 15:55:00+00:00,1.04305,1.0402154,1.0402154,,-28.346000000001315,SL_HIT,False
EURUSD,FVG_CONTINUATION,SELL,,2024-12-31 06:00:00+00:00,2024-12-31 15:20:00+00:00,1.04066,1.03872,1.04507598,,19.399999999998307,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,SELL,,2025-01-02 09:00:00+00:00,2025-01-02 10:30:00+00:00,1.03666,1.03544,1.0393345200000002,,12.199999999999989,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,BUY,,2025-01-07 14:15:00+00:00,2025-01-07 14:40:00+00:00,1.04104,1.03974,1.03974,,-12.999999999998568,SL_HIT,False
EURUSD,FVG_CONTINUATION,BUY,,2025-01-07 14:45:00+00:00,2025-01-07 17:00:00+00:00,1.03961,1.03824,1.03824,,-13.699999999998713,SL_HIT,False
EURUSD,FVG_CONTINUATION,SELL,,2025-01-08 17:00:00+00:00,2025-01-09 09:45:00+00:00,1.03066,1.02937,1.03307202,,12.900000000000134,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,SELL,,2025-01-13 09:00:00+00:00,2025-01-13 11:35:00+00:00,1.02193,1.01907,1.02056739,,27.79132000000084,GIVEBACK_GUARD,True
EURUSD,CONTINUATION_OB,SELL,,2025-01-13 13:30:00+00:00,2025-01-14 00:10:00+00:00,1.01985,1.02490572,1.02490572,,-50.55720000000097,SL_HIT,False
EURUSD,FVG_CONTINUATION,SELL,,2025-01-14 08:45:00+00:00,2025-01-14 17:35:00+00:00,1.02516,1.02821232,1.02821232,,-30.523199999998862,SL_HIT,False
EURUSD,FVG_CONTINUATION,BUY,,2025-01-17 08:15:00+00:00,2025-01-17 11:10:00+00:00,1.02857,1.02974,1.0262334199999998,,11.700000000001154,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,BUY,,2025-01-24 15:15:00+00:00,2025-01-24 16:35:00+00:00,1.04657,1.04747,1.04429722,,8.999999999999009,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,SELL,,2025-01-29 16:00:00+00:00,2025-01-29 17:40:00+00:00,1.03957,1.0419296999999998,1.0419296999999998,,-23.596999999997426,SL_HIT,False
EURUSD,FVG_CONTINUATION,SELL,,2025-01-30 14:15:00+00:00,2025-01-30 15:50:00+00:00,1.04002,1.042581,1.042581,,-25.610000000000355,SL_HIT,False
EURUSD,FVG_CONTINUATION,SELL,,2025-02-04 07:45:00+00:00,2025-02-04 10:20:00+00:00,1.0292,1.0325409600000002,1.0325409600000002,,-33.40960000000281,SL_HIT,False
EURUSD,FVG_CONTINUATION,SELL,,2025-02-06 07:00:00+00:00,2025-02-06 10:35:00+00:00,1.03876,1.03641,1.03756593,,23.728839999999973,GIVEBACK_GUARD,True
EURUSD,FVG_CONTINUATION,SELL,,2025-02-10 06:00:00+00:00,2025-02-11 05:00:00+00:00,1.03123,1.02927,1.03447482,,19.600000000001838,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,BUY,,2025-02-26 06:00:00+00:00,2025-02-26 14:50:00+00:00,1.05005,1.0475806399999998,1.0475806399999998,,-24.69360000000087,SL_HIT,False
EURUSD,FVG_CONTINUATION,SELL,,2025-03-03 13:30:00+00:00,2025-03-03 16:20:00+00:00,1.0454,1.04782146,1.04782146,,-24.214599999998754,SL_HIT,False
EURUSD,FVG_CONTINUATION,BUY,,2025-03-07 14:00:00+00:00,2025-03-07 14:50:00+00:00,1.0849,1.08476,1.0839100000000002,,-1.40000000000029,GIVEBACK_GUARD,False
EURUSD,CONTINUATION_OB,BUY,,2025-03-10 15:45:00+00:00,2025-03-11 08:25:00+00:00,1.08341,1.08605,1.07824918,,26.399999999999757,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,BUY,,2025-03-31 06:00:00+00:00,2025-03-31 11:25:00+00:00,1.0835,1.08114338,1.08114338,,-23.566199999998094,SL_HIT,False
EURUSD,FVG_CONTINUATION,BUY,,2025-04-01 08:45:00+00:00,2025-04-01 12:05:00+00:00,1.08062,1.08231,1.07790986,,16.900000000001913,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,BUY,,2025-04-03 07:45:00+00:00,2025-04-03 08:35:00+00:00,1.09058,1.09447,1.09206978,,33.43736000000108,GIVEBACK_GUARD,True
EURUSD,FVG_CONTINUATION,BUY,,2025-04-03 13:30:00+00:00,2025-04-03 14:55:00+00:00,1.10689,1.10866,1.1014526800000002,,17.700000000000493,GIVEBACK_GUARD,False
EURUSD,CONTINUATION_OB,SELL,,2025-04-03 14:55:00+00:00,2025-04-03 18:40:00+00:00,1.10866,1.10441,1.1167791,,42.50000000000087,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,BUY,,2025-04-04 07:00:00+00:00,2025-04-04 08:30:00+00:00,1.10867,1.10876,1.1055844,,0.8999999999992347,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,BUY,,2025-04-04 08:30:00+00:00,2025-04-04 09:55:00+00:00,1.10799,1.1055844,1.1055844,,-24.056000000001188,SL_HIT,False
EURUSD,CONTINUATION_OB,BUY,,2025-04-04 15:45:00+00:00,2025-04-04 15:50:00+00:00,1.10287,1.10178,1.10178,,-10.900000000000354,SL_HIT,False
EURUSD,CONTINUATION_OB,BUY,,2025-04-04 16:45:00+00:00,2025-04-04 20:05:00+00:00,1.10048,1.09498564,1.09498564,,-54.9435999999992,SL_HIT,False
EURUSD,CONTINUATION_OB,SELL,,2025-04-07 06:00:00+00:00,2025-04-07 08:25:00+00:00,1.09333,1.09960482,1.09960482,,-62.74820000000014,SL_HIT,False
EURUSD,CONTINUATION_OB,SELL,,2025-04-07 14:30:00+00:00,2025-04-07 18:10:00+00:00,1.09451,1.09202,1.09943448,,24.900000000001032,GIVEBACK_GUARD,False
EURUSD,CONTINUATION_OB,SELL,,2025-04-09 13:30:00+00:00,2025-04-09 20:35:00+00:00,1.10387,1.09935,1.1002461,,61.56679999999959,GIVEBACK_GUARD,True
EURUSD,FVG_CONTINUATION,BUY,,2025-04-10 07:30:00+00:00,2025-04-10 10:20:00+00:00,1.09787,1.09785,1.09498564,,-0.1999999999990898,GIVEBACK_GUARD,False
EURUSD,CONTINUATION_OB,BUY,,2025-04-11 06:45:00+00:00,2025-04-11 08:35:00+00:00,1.13398,1.12822902,1.12822902,,-57.50979999999961,SL_HIT,False
EURUSD,CONTINUATION_OB,BUY,,2025-04-11 16:45:00+00:00,2025-04-11 19:15:00+00:00,1.13569,1.1300453799999999,1.1300453799999999,,-56.44620000000211,SL_HIT,False
EURUSD,CONTINUATION_OB,BUY,,2025-04-15 13:30:00+00:00,2025-04-15 16:20:00+00:00,1.13339,1.13052442,1.13052442,,-28.655799999999232,SL_HIT,False
EURUSD,FVG_CONTINUATION,SELL,,2025-04-17 07:15:00+00:00,2025-04-17 08:45:00+00:00,1.13687,1.13465,1.13959464,,22.200000000001108,GIVEBACK_GUARD,False
EURUSD,CONTINUATION_OB,BUY,,2025-04-21 06:00:00+00:00,2025-04-21 11:00:00+00:00,1.15065,1.15507,1.14378784,,44.200000000000905,GIVEBACK_GUARD,False
EURUSD,CONTINUATION_OB,BUY,,2025-04-21 13:30:00+00:00,2025-04-21 15:05:00+00:00,1.15221,1.15423,1.1482389199999998,,20.200000000001328,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,BUY,,2025-04-21 15:05:00+00:00,2025-04-21 16:25:00+00:00,1.15365,1.15068402,1.15068402,,-29.659800000001457,SL_HIT,False
EURUSD,CONTINUATION_OB,BUY,,2025-04-23 06:15:00+00:00,2025-04-23 12:10:00+00:00,1.13829,1.1425,1.13197152,,42.10000000000047,GIVEBACK_GUARD,False
EURUSD,FVG_CONTINUATION,SELL,,2025-04-25 07:45:00+00:00,2025-04-25 10:15:00+00:00,1.13344,1.13668884,1.13668884,,-32.488399999999196,SL_HIT,False
EURUSD,FVG_CONTINUATION,BUY,,2025-04-28 09:00:00+00:00,2025-04-28 09:55:00+00:00,1.13674,1.13414716,1.13414716,,-25.928400000001517,SL_HIT,False
EURUSD,FVG_CONTINUATION,BUY,,2025-05-01 15:00:00+00:00,2025-05-01 15:35:00+00:00,1.13131,1.13263,1.1287280199999998,,13.199999999999878,GIVEBACK_GUARD,False
