symbol,entry_time,exit_time,direction,setup,killzone,pnl_pips,rr_achieved,usd_pnl,exit_reason,entry_price,sl_price,tp_price,partial_taken,trail_count
AUDUSD,2024-11-13T16:30:00+00:00,2024-11-13T17:10:00+00:00,SELL,CHOCH,LONDON_CLOSE,26.2,0.5837,29.18,GIVEBACK_GUARD,0.65129,0.65577894,0.64006765,False,0
AUDUSD,2024-11-14T14:45:00+00:00,2024-11-14T16:40:00+00:00,BUY,CHOCH,NY_OPEN,9.5,0.3612,18.06,GIVEBACK_GUARD,0.64651,0.64387966,0.6530858500000002,False,0
AUDUSD,2024-11-15T15:45:00+00:00,2024-11-15T16:40:00+00:00,SELL,CHOCH,NY_OPEN,16.2,0.5614,28.07,GIVEBACK_GUARD,0.64619,0.64907556,0.6389761000000002,False,0
AUDUSD,2024-11-15T16:40:00+00:00,2024-11-18T18:50:00+00:00,SELL,CHOCH,LONDON_CLOSE,-47.36,-1.0,-50.0,SL_HIT,0.64457,0.6493060199999999,0.6327299500000001,False,0
AUDUSD,2024-11-21T13:30:00+00:00,2024-11-22T07:15:00+00:00,BUY,CHOCH,NY_OPEN,-27.71,-1.0,-50.0,SL_HIT,0.65197,0.649199,0.6588975000000002,False,0
AUDUSD,2024-11-25T15:15:00+00:00,2024-11-26T01:40:00+00:00,BUY,CHOCH,NY_OPEN,-39.19,-1.0,-50.0,SL_HIT,0.65222,0.6483007999999999,0.6620180000000003,False,0
AUDUSD,2024-11-28T13:30:00+00:00,2024-11-29T06:25:00+00:00,BUY,CHOCH,NY_OPEN,24.6,0.7332,36.66,GIVEBACK_GUARD,0.64967,0.64631478,0.65805805,False,0
AUDUSD,2024-12-06T15:30:00+00:00,2024-12-06T17:00:00+00:00,BUY,CHOCH,NY_OPEN,-26.5,-1.0,-50.0,SL_HIT,0.64342,0.6407700000000001,0.6529214000000001,False,0
AUDUSD,2024-12-11T15:45:00+00:00,2024-12-12T02:40:00+00:00,BUY,CHOCH,NY_OPEN,41.18,1.8732,93.66,GIVEBACK_GUARD,0.63669,0.6388885599999999,0.6476827999999998,True,0
AUDUSD,2024-12-13T17:00:00+00:00,2024-12-17T17:50:00+00:00,SELL,CHOCH,LONDON_CLOSE,16.7,0.4189,20.95,GIVEBACK_GUARD,0.63554,0.6395265,0.62557375,False,0
AUDUSD,2024-12-18T15:35:00+00:00,2024-12-18T16:30:00+00:00,BUY,CHOCH,NY_OPEN,-6.3,-1.0,-50.0,SL_HIT,0.63246,0.63183,0.6397470000000001,False,0
AUDUSD,2024-12-20T14:00:00+00:00,2024-12-20T18:40:00+00:00,SELL,CHOCH,NY_OPEN,-31.2,-1.0,-50.0,SL_HIT,0.62294,0.6260596199999999,0.6151409500000004,False,0
AUDUSD,2024-12-23T13:30:00+00:00,2024-12-23T17:10:00+00:00,SELL,CHOCH,NY_OPEN,22.4,0.6661,33.31,GIVEBACK_GUARD,0.62427,0.62763276,0.6158630999999999,False,0
AUDUSD,2025-01-06T17:00:00+00:00,2025-01-07T22:40:00+00:00,SELL,CHOCH,LONDON_CLOSE,29.3,0.5376,26.88,GIVEBACK_GUARD,0.62592,0.63137022,0.6122944500000002,False,0
AUDUSD,2025-01-14T14:00:00+00:00,2025-01-15T15:30:00+00:00,SELL,CHOCH,NY_OPEN,-50.31,-1.0,-50.0,SL_HIT,0.61683,0.62186124,0.6042519,False,0
AUDUSD,2025-01-16T17:00:00+00:00,2025-01-17T15:25:00+00:00,BUY,CHOCH,LONDON_CLOSE,-35.58,-1.0,-50.0,SL_HIT,0.62142,0.6178618,0.6303154999999998,False,0
AUDUSD,2025-01-17T17:00:00+00:00,2025-01-20T15:35:00+00:00,BUY,CHOCH,LONDON_CLOSE,23.1,0.3266,16.33,GIVEBACK_GUARD,0.62215,0.61507738,0.6398315499999999,False,0
AUDUSD,2025-01-21T16:20:00+00:00,2025-01-21T17:25:00+00:00,BUY,CHOCH,LONDON_CLOSE,5.2,0.4906,24.53,GIVEBACK_GUARD,0.6248,0.6237400000000001,0.6373415999999998,False,0
AUDUSD,2025-01-23T13:30:00+00:00,2025-01-23T18:35:00+00:00,BUY,CHOCH,NY_OPEN,12.1,0.4547,22.74,GIVEBACK_GUARD,0.62683,0.62416916,0.6334820999999999,False,0
AUDUSD,2025-01-24T14:45:00+00:00,2025-01-27T02:10:00+00:00,SELL,CHOCH,NY_OPEN,17.4,0.5124,25.62,GIVEBACK_GUARD,0.63083,0.63422592,0.6223402,False,0
AUDUSD,2025-01-27T13:30:00+00:00,2025-01-28T01:25:00+00:00,BUY,CHOCH,NY_OPEN,-32.25,-1.0,-50.0,SL_HIT,0.62957,0.6263448,0.6376329999999998,False,0
AUDUSD,2025-01-31T13:30:00+00:00,2025-01-31T19:05:00+00:00,SELL,CHOCH,NY_OPEN,-36.27,-1.0,-50.0,SL_HIT,0.6212,0.62482716,0.6121320999999997,False,0
AUDUSD,2025-02-07T14:00:00+00:00,2025-02-07T18:05:00+00:00,SELL,CHOCH,NY_OPEN,11.0,0.368,18.4,GIVEBACK_GUARD,0.62792,0.6309093,0.6204467500000002,False,0
AUDUSD,2025-02-10T14:00:00+00:00,2025-02-11T18:25:00+00:00,SELL,CHOCH,NY_OPEN,-27.57,-1.0,-50.0,SL_HIT,0.62678,0.6295365599999999,0.6198886000000002,False,0
AUDUSD,2025-02-13T17:00:00+00:00,2025-02-13T21:40:00+00:00,BUY,CHOCH,LONDON_CLOSE,16.0,0.3686,18.43,GIVEBACK_GUARD,0.62849,0.6241492,0.6393420000000001,False,0
AUDUSD,2025-03-06T17:00:00+00:00,2025-03-07T03:25:00+00:00,BUY,CHOCH,LONDON_CLOSE,-36.56,-1.0,-50.0,SL_HIT,0.6352,0.63154438,0.6443390499999999,False,0
AUDUSD,2025-03-10T16:25:00+00:00,2025-03-10T16:55:00+00:00,SELL,CHOCH,LONDON_CLOSE,0.2,0.0408,2.04,GIVEBACK_GUARD,0.63074,0.63123,0.6219750999999999,False,0
AUDUSD,2025-03-10T17:00:00+00:00,2025-03-10T20:10:00+00:00,SELL,CHOCH,LONDON_CLOSE,27.4,0.7928,39.64,GIVEBACK_GUARD,0.63079,0.63424596,0.6221500999999998,False,0
AUDUSD,2025-03-11T16:00:00+00:00,2025-03-11T20:45:00+00:00,SELL,CHOCH,NY_OPEN,-27.99,-1.0,-50.0,SL_HIT,0.6281,0.63089928,0.6211018000000001,False,0
AUDUSD,2025-03-12T15:00:00+00:00,2025-03-12T15:45:00+00:00,SELL,CHOCH,NY_OPEN,3.6,0.3369,16.85,GIVEBACK_GUARD,0.62945,0.6305185200000001,0.6267786999999996,False,0
AUDUSD,2025-03-13T16:45:00+00:00,2025-03-14T14:15:00+00:00,BUY,CHOCH,LONDON_CLOSE,18.4,0.485,24.25,GIVEBACK_GUARD,0.62935,0.62555638,0.6388340499999998,False,0
AUDUSD,2025-03-19T16:15:00+00:00,2025-03-19T20:35:00+00:00,BUY,CHOCH,LONDON_CLOSE,12.0,0.5324,26.62,GIVEBACK_GUARD,0.63302,0.63076594,0.6386551500000002,False,0
AUDUSD,2025-03-24T15:30:00+00:00,2025-03-24T18:45:00+00:00,SELL,CHOCH,NY_OPEN,17.7,0.6231,31.15,GIVEBACK_GUARD,0.62883,0.6316708200000001,0.6217279499999998,False,0
AUDUSD,2025-03-25T17:00:00+00:00,2025-03-25T20:50:00+00:00,SELL,CHOCH,LONDON_CLOSE,13.5,0.559,27.95,GIVEBACK_GUARD,0.63127,0.63368484,0.6252328999999999,False,0
AUDUSD,2025-04-07T13:30:00+00:00,2025-04-07T18:15:00+00:00,BUY,CHOCH,NY_OPEN,-75.98,-1.0,-50.0,SL_HIT,0.60516,0.59756248,0.6241538000000001,False,0
AUDUSD,2025-04-08T16:00:00+00:00,2025-04-08T18:10:00+00:00,BUY,CHOCH,NY_OPEN,-58.56,-1.0,-50.0,SL_HIT,0.60775,0.6018937999999999,0.6223905000000003,False,0
AUDUSD,2025-04-09T14:30:00+00:00,2025-04-09T14:45:00+00:00,SELL,CHOCH,NY_OPEN,-15.3,-1.0,-50.0,SL_HIT,0.59924,0.6007699999999999,0.5819372000000003,False,0
AUDUSD,2025-04-14T14:30:00+00:00,2025-04-14T16:15:00+00:00,SELL,CHOCH,NY_OPEN,34.47,1.9594,97.97,GIVEBACK_GUARD,0.63193,0.63017082,0.6231341000000001,True,0
AUDUSD,2025-04-17T13:30:00+00:00,2025-04-17T14:10:00+00:00,BUY,CHOCH,NY_OPEN,3.1,0.5167,25.83,GIVEBACK_GUARD,0.63545,0.63485,0.6432811,False,0
AUDUSD,2025-05-01T15:30:00+00:00,2025-05-02T03:30:00+00:00,BUY,CHOCH,NY_OPEN,13.1,0.5381,26.9,GIVEBACK_GUARD,0.63849,0.63605534,0.6445766500000001,False,0
AUDUSD,2025-05-22T14:30:00+00:00,2025-05-23T17:20:00+00:00,SELL,CHOCH,NY_OPEN,-47.61,-1.0,-50.0,SL_HIT,0.64226,0.64702146,0.63035635,False,0
AUDUSD,2025-05-29T16:45:00+00:00,2025-05-30T05:40:00+00:00,SELL,CHOCH,LONDON_CLOSE,11.0,0.451,22.55,GIVEBACK_GUARD,0.64349,0.6459292799999999,0.6373918000000002,False,0
