time,open,high,low,close,tick_volume
2025-01-02 00:00:00,196.687,196.715,196.607,196.672,234
2025-01-02 00:15:00,196.672,196.725,196.61,196.697,94
2025-01-02 00:30:00,196.697,196.776,196.679,196.761,186
2025-01-02 00:45:00,196.761,196.792,196.725,196.755,166
2025-01-02 01:00:00,196.704,196.811,196.653,196.782,320
2025-01-02 01:15:00,196.782,196.888,196.78,196.88,540
2025-01-02 01:30:00,196.883,197.016,196.883,197.009,691
2025-01-02 01:45:00,197.01,197.521,197.01,197.427,813
2025-01-02 02:00:00,197.439,197.467,197.18,197.244,820
2025-01-02 02:15:00,197.244,197.244,197.005,197.012,788
2025-01-02 02:30:00,197.01,197.158,196.995,197.138,717
2025-01-02 02:45:00,197.138,197.169,196.921,197.038,903
2025-01-02 03:00:00,197.042,197.23,197.01,197.157,950
2025-01-02 03:15:00,197.157,197.309,197.134,197.254,954
2025-01-02 03:30:00,197.256,197.292,197.203,197.26,834
2025-01-02 03:45:00,197.261,197.291,197.162,197.197,760
2025-01-02 04:00:00,197.196,197.197,197.113,197.121,664
2025-01-02 04:15:00,197.121,197.151,197.068,197.091,591
2025-01-02 04:30:00,197.089,197.192,197.071,197.128,653
2025-01-02 04:45:00,197.128,197.142,197.067,197.124,643
2025-01-02 05:00:00,197.125,197.137,196.939,196.959,533
2025-01-02 05:15:00,196.959,197.031,196.952,196.991,434
2025-01-02 05:30:00,196.991,197.11,196.969,197.092,569
2025-01-02 05:45:00,197.093,197.122,197.011,197.015,508
2025-01-02 06:00:00,197.017,197.018,196.914,196.938,548
2025-01-02 06:15:00,196.939,196.973,196.888,196.888,530
2025-01-02 06:30:00,196.89,196.932,196.831,196.844,387
2025-01-02 06:45:00,196.841,196.848,196.771,196.807,336
2025-01-02 07:00:00,196.806,196.828,196.748,196.786,336
2025-01-02 07:15:00,196.786,196.943,196.779,196.935,458
2025-01-02 07:30:00,196.936,196.99,196.918,196.942,548
2025-01-02 07:45:00,196.941,197.015,196.937,197.009,540
2025-01-02 08:00:00,197.007,197.009,196.763,196.78,653
2025-01-02 08:15:00,196.78,196.82,196.49,196.51,542
2025-01-02 08:30:00,196.51,196.522,196.365,196.427,779
2025-01-02 08:45:00,196.427,196.461,196.281,196.281,607
2025-01-02 09:00:00,196.283,196.303,196.129,196.283,1077
2025-01-02 09:15:00,196.283,196.435,196.256,196.413,920
2025-01-02 09:30:00,196.416,196.428,196.068,196.089,921
2025-01-02 09:45:00,196.083,196.263,195.984,196.169,1043
2025-01-02 10:00:00,196.189,196.336,195.933,196.018,1214
2025-01-02 10:15:00,196.022,196.022,195.552,195.583,1100
2025-01-02 10:30:00,195.579,195.874,195.556,195.74,1159
2025-01-02 10:45:00,195.773,195.978,195.716,195.933,1059
2025-01-02 11:00:00,195.93,196.01,195.851,195.899,1198
2025-01-02 11:15:00,195.9,196.037,195.895,195.965,953
2025-01-02 11:30:00,195.968,195.979,195.789,195.825,1003
2025-01-02 11:45:00,195.815,195.859,195.673,195.706,946
2025-01-02 12:00:00,195.706,195.961,195.704,195.956,967
2025-01-02 12:15:00,195.954,196.048,195.76,195.794,985
2025-01-02 12:30:00,195.791,195.792,195.541,195.589,1118
2025-01-02 12:45:00,195.59,195.774,195.561,195.573,1270
2025-01-02 13:00:00,195.565,195.722,195.465,195.669,1128
2025-01-02 13:15:00,195.668,195.686,195.492,195.619,1036
2025-01-02 13:30:00,195.615,195.671,195.538,195.648,1093
2025-01-02 13:45:00,195.648,195.771,195.618,195.763,1003
2025-01-02 14:00:00,195.765,195.808,195.547,195.587,1031
2025-01-02 14:15:00,195.586,195.591,195.47,195.494,939
2025-01-02 14:30:00,195.495,195.569,195.24,195.297,1110
2025-01-02 14:45:00,195.296,195.301,195.043,195.087,1158
2025-01-02 15:00:00,195.087,195.095,194.778,194.807,1164
2025-01-02 15:15:00,194.794,194.804,194.489,194.511,1200
2025-01-02 15:30:00,194.536,194.992,194.432,194.44,1439
2025-01-02 15:45:00,194.436,194.684,194.363,194.528,1377
2025-01-02 16:00:00,194.506,194.863,194.487,194.803,1288
2025-01-02 16:15:00,194.805,194.868,194.325,194.385,1290
2025-01-02 16:30:00,194.356,194.552,194.231,194.462,1382
2025-01-02 16:45:00,194.462,194.752,194.462,194.695,1352
2025-01-02 17:00:00,194.687,194.798,194.378,194.463,1425
2025-01-02 17:15:00,194.464,194.464,194.193,194.274,1461
2025-01-02 17:30:00,194.26,194.61,194.236,194.417,1458
2025-01-02 17:45:00,194.418,194.512,194.365,194.464,1450
2025-01-02 18:00:00,194.465,194.775,194.393,194.701,1543
2025-01-02 18:15:00,194.702,194.891,194.654,194.882,1350
2025-01-02 18:30:00,194.889,195.121,194.828,194.975,1267
2025-01-02 18:45:00,194.977,195.114,194.945,195.089,1229
2025-01-02 19:00:00,195.081,195.18,194.958,195.156,1183
2025-01-02 19:15:00,195.161,195.318,195.105,195.107,1193
2025-01-02 19:30:00,195.103,195.126,194.824,194.844,1327
2025-01-02 19:45:00,194.851,194.937,194.738,194.929,1262
2025-01-02 20:00:00,194.929,195.053,194.875,194.93,1201
2025-01-02 20:15:00,194.93,194.963,194.818,194.961,1099
2025-01-02 20:30:00,194.955,194.955,194.83,194.935,993
2025-01-02 20:45:00,194.936,194.942,194.802,194.811,1108
2025-01-02 21:00:00,194.817,194.867,194.784,194.81,995
2025-01-02 21:15:00,194.812,195.084,194.812,195.049,1013
2025-01-02 21:30:00,195.05,195.094,194.932,194.948,1001
2025-01-02 21:45:00,194.947,195.018,194.893,194.951,1032
2025-01-02 22:00:00,194.952,195.1,194.952,195.087,1024
2025-01-02 22:15:00,195.086,195.147,195.047,195.126,906
2025-01-02 22:30:00,195.127,195.171,195.07,195.138,1014
2025-01-02 22:45:00,195.14,195.181,195.095,195.111,971
2025-01-02 23:00:00,195.108,195.122,195.04,195.041,435
2025-01-02 23:15:00,195.039,195.08,195.036,195.058,306
2025-01-02 23:30:00,195.056,195.072,195.019,195.02,256
2025-01-02 23:45:00,195.02,195.032,194.849,194.856,359
2025-01-03 00:00:00,194.802,194.967,194.672,194.843,139
2025-01-03 00:15:00,194.843,194.997,194.843,194.926,267
2025-01-03 00:30:00,194.93,194.956,194.885,194.927,94
2025-01-03 00:45:00,194.927,194.967,194.879,194.924,105
2025-01-03 01:00:00,194.928,194.983,194.878,194.949,230
2025-01-03 01:15:00,194.95,195.01,194.947,195.001,467
2025-01-03 01:30:00,195.003,195.018,194.968,194.999,394
2025-01-03 01:45:00,195.001,195.015,194.785,194.798,634
2025-01-03 02:00:00,194.801,194.804,194.687,194.77,757
2025-01-03 02:15:00,194.771,194.82,194.747,194.804,719
2025-01-03 02:30:00,194.804,194.898,194.766,194.865,624
2025-01-03 02:45:00,194.864,194.894,194.677,194.729,797
2025-01-03 03:00:00,194.727,194.81,194.695,194.748,716
2025-01-03 03:15:00,194.75,194.871,194.749,194.864,649
2025-01-03 03:30:00,194.861,194.928,194.843,194.871,708
2025-01-03 03:45:00,194.872,194.897,194.777,194.797,635
2025-01-03 04:00:00,194.797,194.886,194.751,194.884,686
2025-01-03 04:15:00,194.884,194.947,194.863,194.9,672
2025-01-03 04:30:00,194.9,194.943,194.853,194.897,635
2025-01-03 04:45:00,194.898,194.948,194.83,194.919,657
2025-01-03 05:00:00,194.917,194.94,194.872,194.917,539
2025-01-03 05:15:00,194.918,195.078,194.916,195.044,581
2025-01-03 05:30:00,195.047,195.067,195.012,195.066,479
2025-01-03 05:45:00,195.069,195.148,194.826,194.958,503
2025-01-03 06:00:00,194.961,195.01,194.891,194.965,620
2025-01-03 06:15:00,194.967,195.056,194.935,195.041,490
2025-01-03 06:30:00,195.043,195.048,194.968,194.982,431
2025-01-03 06:45:00,194.983,194.996,194.925,194.935,486
2025-01-03 07:00:00,194.938,194.959,194.875,194.921,638
2025-01-03 07:15:00,194.922,194.95,194.869,194.937,580
2025-01-03 07:30:00,194.935,195.002,194.918,194.949,530
2025-01-03 07:45:00,194.95,194.987,194.933,194.969,562
